call_id,complaint_id,client_id,phonefinal,vruline,priority,type,outcome,server,date_received,ser_start,ser_exit
34536,CR2406263,C00004587,977-806-9726,AA0103,0,NW,AGENT,MICHAL,3/27/2017,13:34:11,13:40:23
34537,CR2405641,C00003328,322-598-7152,AA0205,0,PS,AGENT,TOVA,3/27/2017,10:58:22,11:16:10
34538,CR2405629,C00001685,508-311-5237,AA0110,2,PS,AGENT,YIFAT,3/27/2017,13:00:54,13:13:31
34540,CR2400594,C00001945,265-394-2727,AA0113,2,PS,AGENT,AVNI,3/23/2017,16:18:21,16:19:40
34541,CR2399607,C00004303,206-008-0460,AA0102,1,PS,AGENT,STEREN,3/22/2017,14:48:22,14:55:19
34542,CR2398621,C00010209,617-060-9671,AA0203,0,PS,AGENT,ANAT,3/22/2017,9:15:43,9:32:44
34543,CR2398447,C00004248,617-739-1926,AA0203,0,PS,AGENT,YIFAT,3/22/2017,11:33:16,11:41:36
34544,CR2398401,C00000486,478-749-3447,AA0204,0,PS,AGENT,TOVA,3/22/2017,15:05:09,15:17:45
34545,CR2398768,C00002342,994-862-3218,AA0101,0,NW,AGENT,STEREN,3/22/2017,10:19:11,10:19:57
34546,CR2397737,C00003730,617-161-9051,AA0205,0,PS,AGENT,YIFAT,3/21/2017,10:47:11,10:53:13
34547,CR2398271,C00001891,953-476-9580,AA0105,0,NW,AGENT,MIKI,3/21/2017,14:20:21,14:31:52
34549,CR2392378,C00003321,254-815-1076,AA0106,1,PS,AGENT,DORIT,3/17/2017,9:00:11,9:03:53
34550,CR2392249,C00004218,508-495-9597,AA0102,0,PS,AGENT,AVNI,3/17/2017,12:38:08,12:42:25
34551,CR2391330,C00004622,716-474-3082,AA0214,2,PS,AGENT,MORIAH,3/16/2017,10:41:54,10:56:57
34552,CR2391051,C00004266,212-955-2224,AA0103,0,NW,AGENT,YIFAT,3/16/2017,14:36:47,14:45:13
34553,CR2391104,C00000375,508-906-6051,AA0102,2,PS,AGENT,TOVA,3/16/2017,14:10:43,14:23:31
34554,CR2388840,C00002259,854-860-5683,AA0204,2,PS,AGENT,GILI,3/15/2017,14:31:14,14:45:46
34555,CR2388580,C00003366,356-333-5984,AA0201,1,PS,AGENT,KAZAV,3/15/2017,16:22:51,16:38:04
34557,CR2386079,C00009987,294-459-8475,AA0103,2,NE,AGENT,KAZAV,3/14/2017,11:11:40,11:20:04
34559,CR2382372,C00001401,124-161-2235,AA0201,0,PS,AGENT,YITZ,3/10/2017,10:33:03,10:34:01
34560,CR2376980,C00003545,472-217-3837,AA0110,2,PS,AGENT,DARMON,3/9/2017,10:21:54,10:35:22
34561,CR2377263,C00004301,495-249-7895,AA0215,0,PS,AGENT,SHLOMO,3/8/2017,10:38:34,10:45:56
34562,CR2378338,C00004528,463-191-1159,AA0215,0,PS,AGENT,MIKI,3/8/2017,16:59:32,17:06:41
34563,CR2378433,C00001632,847-606-9704,AA0202,0,PS,AGENT,YIFAT,3/8/2017,16:46:17,16:55:11
34564,CR2378816,C00003074,212-741-2757,AA0101,0,NW,AGENT,STEREN,3/8/2017,9:33:16,9:38:21
34565,CR2376941,C00002354,212-022-5279,AA0213,0,PS,AGENT,GILI,3/8/2017,13:13:22,13:29:31
34566,CR2374521,C00002508,909-238-3879,AA0106,0,PS,AGENT,MIKI,3/7/2017,13:00:28,13:11:03
34567,CR2375008,C00004113,914-751-1865,AA0204,0,NW,AGENT,MICHAL,3/7/2017,10:41:15,11:01:00
34568,CR2372694,C00004906,386-438-1635,AA0104,0,PS,AGENT,AVIDAN,3/6/2017,11:31:53,11:51:46
34569,CR2373271,C00006366,817-770-7405,AA0103,0,PS,AGENT,AVIDAN,3/6/2017,12:51:02,12:58:13
34570,CR2373496,C00004015,617-592-2307,AA0109,0,PS,AGENT,ZOHARI,3/6/2017,13:37:53,13:37:53
